Subjects,FixRate_First25Trials,FixRate_Last25Trials
1003,149.400931890634,165.917941939663
1005,139.683465890914,176.006254471594
1008,78.4191107672325,211.329648240365
1009,132.623718674704,141.205492925093
1010,119.843502120656,150.014800879498
1011,136.888755382049,179.10411735704
1012,150.270312298469,169.98980817399
1013,87.2849611131163,115.569127091735
1015,127.215080396632,190.321554167333
1019,157.581436893171,53.9424114510922
1020,169.198799353498,91.546104860801
1021,143.397524678799,168.041087626492
1025,98.3708983004714,123.638465109754
1026,166.463625190921,168.615909525677
1029,157.757321005745,145.63447878866
1034,108.150070961794,132.191807700564
1036,144.006512092952,129.515608691809
1037,197.164168881416,165.152309055881
1038,127.27595683282,145.083361241587
1040,103.727639471974,116.984404751518
1041,102.327557756641,107.939067235316
1042,122.432980753313,140.60920611743
1043,142.097545480972,122.184398517302
1045,128.992573262963,126.724987745597
1046,96.4514385061541,98.7491447484416
1047,153.832611670019,201.931347440507
1050,162.192869943166,177.944978633665
1051,143.225744766392,169.74149100334
1052,143.030318329251,182.404516282276
1053,156.921147763349,115.19638432887
1054,138.161578118555,138.446572810444
1055,137.513693954278,191.205055788011
1058,128.973172855605,150.949093226866
1059,187.562992511395,225.550665968031
1060,99.6012339929173,176.964089452697
1064,113.090522565417,170.004391191232
1065,143.022231972216,126.974951858577
1068,134.770786189141,207.43977566931
1069,166.413011213377,134.507017307312
1072,121.101220518229,186.294620745045
1074,135.935627212472,153.128844985277
1075,142.488945053415,167.874801646021
1076,140.014106713707,157.674773255282
1078,142.116702409067,191.977284153386
1080,126.350634926995,191.625301097098
1081,120.558757840577,144.978619842002
1083,104.978146721199,162.734120908258
1084,119.138093223721,205.721771133671
1089,91.6492680876409,130.298009965868
1092,121.448988258667,161.130734218174
1094,134.218014004527,179.234186953218
1095,119.193418486303,151.719381373112
1096,175.883551958408,131.063552261444
1097,155.663285013556,140.180055769692
1099,142.523864353034,154.510629369422
1100,113.022899344678,67.1580937430088
1101,175.025273667192,168.390522074461
1102,138.045803828001,156.354088430147
1104,113.52722445482,150.336375488588
1106,193.745398316983,182.838969606781
1107,174.48492923098,187.560225212431
1108,165.628688501812,153.071905384374
1109,115.889503681523,132.149178791135
1111,99.1557265012024,84.5482037648977
1112,153.471251199862,163.732472289448
1114,176.632200684748,196.171351878246
1115,163.020816117654,118.711179407615
1118,124.07027716461,197.78314304852
1121,137.157185737248,167.82762158386
1122,174.961941146353,150.539056435087
1123,141.127077834445,124.578621721002
1125,134.535180196727,100.441145193713
1126,186.937934744839,118.386461936215
1129,111.138214316046,157.193771921278
1130,137.477967996852,162.815656079806
1131,139.698485551786,149.101737509505
1132,125.678241132526,146.409789319772
1134,120.395318727608,204.766418307398
1135,160.321307140532,200.387313294917
1136,117.427302114572,186.30942912469
1932,102.171225073734,171.45351273071
1988,177.744246742622,194.534080624466
